id_shopee;produto;preco;comissao_rs;vendas;nota;link_foto;link_afiliado;data_geracao;status;id_instagram
44355109343;"""Organize sua cozinha de forma eficiente com o Kit de 15 potes herméticos plásticos! 🍳💪 Segurança alimentar garantida, fácil de limpar e reutilizável! 🔄 Pronto para mudar sua rotina de cozinha? Preço incrível: R$ 20,83! 🤑 Comente EU QUERO que te envio o link! 📲""";20.83;3.12;3115;4.7;https://cf.shopee.com.br/file/br-11134207-7r98o-mcx088rti8fm2c;https://s.shopee.com.br/AACoqIkNU3;2026-03-29 22:59:48;pendente;
23898739373;"""Limpe a sua cozinha e banheiro com facilidade com a escova de limpeza elétrica 5 em 1! 🚿 Fazendo tudo sem fio e sem esforço, é o ideal para limpeza diária 😌! R$ 25,8 - Preço incrível! 💸 Comente EU QUERO que te envio o link! 👇""";25.8;3.35;1702;4.7;https://cf.shopee.com.br/file/br-11134207-81ztc-mj5bxfrcl1qa14;https://s.shopee.com.br/9fGYFNmHUy;2026-03-29 22:59:48;pendente;
21599849503;"""Você merece brilhar! 🌟 Oferecemos ao seu guarda-roupa o Conjunto Feminino Alfaiataria Luxo: Colete e Short Elegante! 💃🏻👗 Preço irrisório: R$59,40! 🤯 Comente EU QUERO que te envio o link! 💬""";59.4;10.10;3164;4.7;https://cf.shopee.com.br/file/br-11134207-81z1k-mdxkdjjrpvr752;https://s.shopee.com.br/9pZyRgleA1;2026-03-29 22:59:48;pendente;
23594534540;"""Descubra o segredo da beleza com o Eudora Siàge - Shampoo Condicionador Máscara Escolha o seu! 3 em 1, hidrata, cuida e protege seu cabelo com uma única aplicação 🌿💇‍♀️, preço incrível R$ 39,9! Comente EU QUERO que te envio o link! 👉""";39.9;11.57;23;4.9;https://cf.shopee.com.br/file/br-11134207-81ztc-mk4b1wg3kjr537;https://s.shopee.com.br/9KdhqlnYAw;2026-03-29 22:59:48;pendente;
18897983973;"""🚨 Oferecemos ao preço incrível de R$ 152,70 o Kit de Bolsa Térmica completo, com 2 Compartimentos, Copo e Marmita, Porta Talher e Porta Escova, perfeito para viagens e aventuras! 🏞️🛍️ Comente EU QUERO que te envio o link! 📲""";152.7;22.91;503;5;https://cf.shopee.com.br/file/br-11134207-820mc-mls763h81z478e;https://s.shopee.com.br/9Ux834mupz;2026-03-29 22:59:48;pendente;
22493620066;"""Livre-se da sujeira com nossa Lavadora de Alta Pressão Pistola Portátil Profissional Sem Fio Recarregável a Bateria Original Carro, apenas R$ 109,99! 🚿💧 Facilidade e eficiência em cada lavagem, sem fios ou problemas, recarregável à bateria 📈, ideais para carros, motas e mais! 🚗 Comente EU QUERO que te envio o link!""";109.99;12.10;1552;4.7;https://cf.shopee.com.br/file/br-11134207-7r98o-m4g8xopn148xfe;https://s.shopee.com.br/2BAYBoXrhK;2026-03-30 12:09:15;pendente;
22094689187;"""🍉🥗 Transforme sua cozinha em um palco de criatividade com o Fatiador Ralador 16 em 1 Profissional em Aço Inoxidável! 🌟 Corte, rale, amasse e mais... tudo em um só produto! 🤩 R$ 24.98 é um preço incrível para uma ferramenta que vai revolucionar sua culinária! 🍳 Comente EU QUERO que te envio o link! 💬""";24.98;3.00;3868;4.8;https://cf.shopee.com.br/file/br-11134207-81ztc-mjqenullkow37c;https://s.shopee.com.br/20r7zVYV2J;2026-03-30 12:09:15;pendente;
21397686421;"""Desfrute de um frescor intenso com o Body Splash VF Virginia Wepink 200ml! 💦💅🏻 Um perfume refrescante e agradável para qualquer ocasião, disponível agora por R$ 54,9! 🛍️ Comente EU QUERO que te envio o link! 📲""";54.9;7.69;4;4.6;https://cf.shopee.com.br/file/br-11134207-7r98o-lw0gyadiilx2f2;https://s.shopee.com.br/1qXhnCZ8NI;2026-03-30 12:09:15;pendente;
29379017291;"""Descubra a música em sua forma mais pura com os E6S Cor Preta Fones De Ouvido Sem Fio TWS Bluetooth! 🔊🎧 Com microfone estéreo, cancelamento de ruído e display digital LED, você aproveitará a melhor experiência de áudio em qualquer lugar 🚀! E o melhor? R$13,61! 💸 Comente EU QUERO que te envio o link! 👉""";13.61;1.77;3600;4.8;https://cf.shopee.com.br/file/sg-11134301-7rfhk-m9zhs3e6z9ux0d;https://s.shopee.com.br/1gEHatZliH;2026-03-30 12:09:15;pendente;
23994650418;"""Aumente sua resistência e condicionamento físico com a bicicleta Spinning! 🚴‍♀️ Ergométrica, para exerícios profissionais, suporta até 120kg e é uma ótima opção para quem busca melhorar sua forma física 💪, tudo isso por apenas R$ 549! 🤑 Comente EU QUERO que te envio o link! 📲""";549;49.41;178;4.8;https://cf.shopee.com.br/file/br-11134207-81z1k-mgnkm7faqxvo01;https://s.shopee.com.br/1VurOaaP3G;2026-03-30 12:09:15;pendente;
22197737647;"""Acaba com a discórdia no banho com o nosso Cobertor Manta Casal Macio 2,00X1,80 Microfibra Liso Estampado Qualidade Superior! 🤩 Dura muito, fácil de limpar e é perfeito para quem busca confort e estilo! 🛏️👫 E o melhor? Você consegue o seu por apenas R$ 19.9! 🤑 Comente EU QUERO que te envio o link!""";19.9;2.59;1601;4.5;https://cf.shopee.com.br/file/sg-11134201-7rdxg-lz7ojy6tuzckb1;https://s.shopee.com.br/3LMVuCFeM5;2026-03-30 17:03:56;pendente;
22998765570;"""Revolucione sua cozinha com o Jogo de Panelas Antiaderente Premium 10 Peças, feitas com materiais de alta qualidade e desenhos elegantes em branco! 🍳🔥 Dura até 10 anos sem precisar reforçar a camada antiaderente e é fácil de limpar! 💪 Oferecemos o melhor preço do mercado por apenas R$ 209,99!  🤑 Comente EU QUERO que te envio o link! 👉""";209.99;27.30;378;4.6;https://cf.shopee.com.br/file/br-11134207-81z1k-mft1rcc908hzbc;https://s.shopee.com.br/3qImV7DkLC;2026-03-30 17:03:56;pendente;
20697874559;"""Descubra a beleza da tranquilidade com o kit Coala Home Chá Branco! 🌿🍵 Um conjunto exclusivo de chá, prato e xícara para uma experiência de relaxamento completa em casa, disponível por apenas R$ 69.99! 🤑 Comente EU QUERO que te envio o link! 📲""";69.99;13.30;5573;5;https://cf.shopee.com.br/file/br-11134207-81ztr-ml2ht5dwxpmr20;https://s.shopee.com.br/3fzMIoENgB;2026-03-30 17:03:56;pendente;
23498370145;"""Lâmpadas de Natal: 🎄🔥 Desbloqueie a potência de limpeza com a Lav1300 Vonder! ⚡️ 1200W de força compacta, porta detergente e fácil de usar, por apenas R$ 344,90! 💸👍 Comente EU QUERO que te envio o link! 📲""";344.9;24.14;4088;4.9;https://cf.shopee.com.br/file/sg-11134201-7reou-m83egtsfqg7rd7;https://s.shopee.com.br/2qQFJHHYN2;2026-03-30 17:03:56;pendente;
